Setup done!
t9626, T24.2857131958, u0.0000000000
t10626, T24.2857131958, u0.0000000000
t11626, T24.2857131958, u0.0000000000
t12626, T24.2857131958, u0.0000000000
t13626, T24.2857131958, u0.0000000000
t14626, T24.2857131958, u0.0000000000
t15626, T24.2857131958, u0.0000000000
t16370, r0
t16626, T24.2857131958, u0.0000000000
t17626, T24.2857131958, u0.0000000000
t18626, T24.2857131958, u0.0000000000
t19627, T24.2857131958, u0.0000000000
t20627, T24.2857131958, u0.0000000000
t21627, T24.2857131958, u0.0000000000
t22286, r2
t22627, T23.8095245361, u2.0000000000
t23627, T24.2857131958, u2.0000000000
t24627, T23.8095245361, u2.0000000000
t25627, T24.2857131958, u2.0000000000
t26627, T24.2857131958, u2.0000000000
t27627, T24.2857131958, u2.0000000000
t28627, T24.2857131958, u2.0000000000
t29627, T24.2857131958, u2.0000000000
t30627, T24.2857131958, u2.0000000000
t31627, T24.2857131958, u2.0000000000
t32627, T24.7619056701, u2.0000000000
t33627, T24.7619056701, u2.0000000000
t34627, T24.7619056701, u2.0000000000
t35627, T24.7619056701, u2.0000000000
t36627, T24.7619056701, u2.0000000000
t37627, T25.2380943298, u2.0000000000
t38627, T25.2380943298, u2.0000000000
t39627, T25.2380943298, u2.0000000000
t40627, T25.2380943298, u2.0000000000
t41627, T25.2380943298, u2.0000000000
t42627, T25.7142868041, u2.0000000000
t43627, T25.7142868041, u2.0000000000
t44627, T25.7142868041, u2.0000000000
t45627, T25.7142868041, u2.0000000000
t46627, T25.7142868041, u2.0000000000
t47627, T26.1904754638, u2.0000000000
t48627, T26.1904754638, u2.0000000000
t49627, T26.1904754638, u2.0000000000
t50627, T26.6666660308, u2.0000000000
t51627, T26.6666660308, u2.0000000000
t52627, T26.6666660308, u2.0000000000
t53627, T26.6666660308, u2.0000000000
t54627, T26.6666660308, u2.0000000000
t55627, T27.1428565979, u2.0000000000
t56627, T27.1428565979, u2.0000000000
t57627, T27.1428565979, u2.0000000000
t58627, T27.1428565979, u2.0000000000
t59627, T27.1428565979, u2.0000000000
t60627, T27.6190471649, u2.0000000000
t61627, T27.6190471649, u2.0000000000
t62627, T27.6190471649, u2.0000000000
t63627, T27.6190471649, u2.0000000000
t64627, T28.0952377319, u2.0000000000
t65627, T28.0952377319, u2.0000000000
t66627, T28.0952377319, u2.0000000000
t67627, T28.0952377319, u2.0000000000
t68627, T28.0952377319, u2.0000000000
t69627, T28.5714282989, u2.0000000000
t70627, T28.5714282989, u2.0000000000
t71627, T28.5714282989, u2.0000000000
t72627, T28.5714282989, u2.0000000000
t73627, T29.0476188659, u2.0000000000
t74627, T29.0476188659, u2.0000000000
t75627, T29.0476188659, u2.0000000000
t76627, T29.0476188659, u2.0000000000
t77627, T29.5238094329, u2.0000000000
t78627, T29.5238094329, u2.0000000000
t79627, T29.5238094329, u2.0000000000
t80627, T29.5238094329, u2.0000000000
t81627, T29.5238094329, u2.0000000000
t82627, T30.0000000000, u2.0000000000
t83627, T30.0000000000, u2.0000000000
t84627, T30.0000000000, u2.0000000000
t85627, T30.0000000000, u2.0000000000
t86627, T30.0000000000, u2.0000000000
t87627, T30.3333320617, u2.0000000000
t88627, T30.3333320617, u2.0000000000
t89627, T30.3333320617, u2.0000000000
t90627, T30.3333320617, u2.0000000000
t91627, T30.6666679382, u2.0000000000
t92627, T30.6666679382, u2.0000000000
t93627, T30.6666679382, u2.0000000000
t94627, T30.6666679382, u2.0000000000
t95627, T30.6666679382, u2.0000000000
t96627, T31.0000000000, u2.0000000000
t97627, T31.0000000000, u2.0000000000
t98627, T31.0000000000, u2.0000000000
t99627, T31.0000000000, u2.0000000000
t100627, T31.3333320617, u2.0000000000
t101627, T31.3333320617, u2.0000000000
t102627, T31.3333320617, u2.0000000000
t103627, T31.3333320617, u2.0000000000
t104627, T31.3333320617, u2.0000000000
t105627, T31.6666679382, u2.0000000000
t106627, T31.6666679382, u2.0000000000
t107627, T31.6666679382, u2.0000000000
t108627, T31.6666679382, u2.0000000000
t109627, T31.6666679382, u2.0000000000
t110627, T32.0000000000, u2.0000000000
t111627, T32.0000000000, u2.0000000000
t112627, T32.0000000000, u2.0000000000
t113627, T32.0000000000, u2.0000000000
t114627, T32.3333320617, u2.0000000000
t115627, T32.3333320617, u2.0000000000
t116627, T32.3333320617, u2.0000000000
t117627, T32.3333320617, u2.0000000000
t118627, T32.3333320617, u2.0000000000
t119627, T32.3333320617, u2.0000000000
t120627, T32.6666679382, u2.0000000000
t121627, T32.6666679382, u2.0000000000
t122627, T32.6666679382, u2.0000000000
t123627, T32.6666679382, u2.0000000000
t124627, T33.0000000000, u2.0000000000
t125627, T33.0000000000, u2.0000000000
t126627, T33.0000000000, u2.0000000000
t127627, T33.0000000000, u2.0000000000
t128627, T33.3333320617, u2.0000000000
t129627, T33.3333320617, u2.0000000000
t130627, T33.3333320617, u2.0000000000
t131627, T33.3333320617, u2.0000000000
t132627, T33.6666679382, u2.0000000000
t133627, T33.6666679382, u2.0000000000
t134627, T33.6666679382, u2.0000000000
t135627, T33.6666679382, u2.0000000000
t136627, T33.6666679382, u2.0000000000
t137627, T34.0000000000, u2.0000000000
t138627, T34.0000000000, u2.0000000000
t139627, T34.0000000000, u2.0000000000
t140627, T34.0000000000, u2.0000000000
t141627, T34.0000000000, u2.0000000000
t142627, T34.3333320617, u2.0000000000
